Library,"Borrower category","Total items checked out/renewed","Adult items checked out/renewed","Young-adult items checked out/renewed","Juvenile items checked out/renewed","Other items checked out/renewed"
"Doniphan County Library - Troy","Staff - in house use (exempt)",,,,,
"Doniphan County Library - Troy","Staff - library associate (exempt)",62,44,1,17,
"Doniphan County Library - Troy","Staff - Permissions template",,,,,
"Doniphan County Library - Troy","Staff - SIP user",,,,,
"Doniphan County Library - Troy","Staff - statistical purposes",,,,,
"Doniphan County Library - Troy","Staff - system login (exempt)",,,,,
"Doniphan County Library - Troy","Student (exempt)",,,,,
"Doniphan County Library - Troy","Student (public library)",,,,,
"Doniphan County Library - Troy","Teacher/Faculty/Administrator (exempt)",2,2,,,
"Doniphan County Library - Troy","Teacher/Faculty/Administrator (public library)",,,,,
"Doniphan County Library - Wathena",Adult,365,185,4,176,
"Doniphan County Library - Wathena","Adult - college student",,,,,
"Doniphan County Library - Wathena","Adult - digital only",,,,,
"Doniphan County Library - Wathena","Adult - homebound",,,,,
"Doniphan County Library - Wathena","Adult - library associate",,,,,
"Doniphan County Library - Wathena","Adult - library board of trustees",,,,,
"Doniphan County Library - Wathena","Adult - other",,,,,
"Doniphan County Library - Wathena","Adult - self registered during the pandemic",,,,,
"Doniphan County Library - Wathena","Adult - temporary",,,,,
"Doniphan County Library - Wathena","Highland Community College - community member",,,,,
"Doniphan County Library - Wathena","Highland Community College - faculty",,,,,
"Doniphan County Library - Wathena","Highland Community College - faculty outreach",,,,,
"Doniphan County Library - Wathena","Highland Community College - staff",,,,,
"Doniphan County Library - Wathena","Highland Community College - student",,,,,
"Doniphan County Library - Wathena","Highland Community College - student outreach",,,,,
"Doniphan County Library - Wathena","Louisburg - Hoopla access",,,,,
"Doniphan County Library - Wathena","Minor - (age 00-11)",,,,,
"Doniphan County Library - Wathena","Minor - (age 00-17)",113,20,3,90,
"Doniphan County Library - Wathena","Minor - (age 12)",,,,,
"Doniphan County Library - Wathena","Minor - (age 13-17)",,,,,
"Doniphan County Library - Wathena","Minor - digital only (age 00-11)",,,,,
"Doniphan County Library - Wathena","Minor - digital only (age 00-17)",,,,,
"Doniphan County Library - Wathena","Minor - digital only (age 12)",,,,,
"Doniphan County Library - Wathena","Minor - digital only (ages 13-17)",,,,,
"Doniphan County Library - Wathena","Minor - Osawatomie student (age 00-17)",,,,,
"Doniphan County Library - Wathena","Minor - other (age 00-17)",,,,,
"Doniphan County Library - Wathena","Minor - temporary",,,,,
"Doniphan County Library - Wathena","Organization - book club",,,,,
"Doniphan County Library - Wathena","Organization - interlibrary loan (exempt-ILL)",,,,,
"Doniphan County Library - Wathena","Staff - in house use (exempt)",,,,,
"Doniphan County Library - Wathena","Staff - library associate (exempt)",28,23,5,,
"Doniphan County Library - Wathena","Staff - Permissions template",,,,,
"Doniphan County Library - Wathena","Staff - SIP user",,,,,
"Doniphan County Library - Wathena","Staff - statistical purposes",,,,,
"Doniphan County Library - Wathena","Staff - system login (exempt)",,,,,
"Doniphan County Library - Wathena","Student (exempt)",,,,,
"Doniphan County Library - Wathena","Student (public library)",,,,,
"Doniphan County Library - Wathena","Teacher/Faculty/Administrator (exempt)",,,,,
"Doniphan County Library - Wathena","Teacher/Faculty/Administrator (public library)",,,,,
"Effingham Community Library",Adult,147,67,28,52,
"Effingham Community Library","Adult - college student",,,,,
"Effingham Community Library","Adult - digital only",,,,,
"Effingham Community Library","Adult - homebound",,,,,
"Effingham Community Library","Adult - library associate",,,,,
"Effingham Community Library","Adult - library board of trustees",,,,,
"Effingham Community Library","Adult - other",30,30,,,
"Effingham Community Library","Adult - self registered during the pandemic",,,,,
"Effingham Community Library","Adult - temporary",,,,,
"Effingham Community Library","Highland Community College - community member",,,,,
"Effingham Community Library","Highland Community College - faculty",,,,,
"Effingham Community Library","Highland Community College - faculty outreach",,,,,
"Effingham Community Library","Highland Community College - staff",,,,,
"Effingham Community Library","Highland Community College - student",,,,,
"Effingham Community Library","Highland Community College - student outreach",,,,,
"Effingham Community Library","Louisburg - Hoopla access",,,,,
"Effingham Community Library","Minor - (age 00-11)",,,,,
"Effingham Community Library","Minor - (age 00-17)",11,3,2,6,
"Effingham Community Library","Minor - (age 12)",,,,,
"Effingham Community Library","Minor - (age 13-17)",,,,,
"Effingham Community Library","Minor - digital only (age 00-11)",,,,,
"Effingham Community Library","Minor - digital only (age 00-17)",,,,,
"Effingham Community Library","Minor - digital only (age 12)",,,,,
"Effingham Community Library","Minor - digital only (ages 13-17)",,,,,
"Effingham Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Effingham Community Library","Minor - other (age 00-17)",,,,,
"Effingham Community Library","Minor - temporary",,,,,
"Effingham Community Library","Organization - book club",5,5,,,
"Effingham Community Library","Organization - interlibrary loan (exempt-ILL)",41,20,10,11,
"Effingham Community Library","Staff - in house use (exempt)",,,,,
"Effingham Community Library","Staff - library associate (exempt)",1,1,,,
"Effingham Community Library","Staff - Permissions template",,,,,
"Effingham Community Library","Staff - SIP user",,,,,
"Effingham Community Library","Staff - statistical purposes",,,,,
"Effingham Community Library","Staff - system login (exempt)",,,,,
"Effingham Community Library","Student (exempt)",,,,,
"Effingham Community Library","Student (public library)",,,,,
"Effingham Community Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Effingham Community Library","Teacher/Faculty/Administrator (public library)",,,,,
"Eudora Community Library",Adult,1417,551,176,690,
"Eudora Community Library","Adult - college student",,,,,
"Eudora Community Library","Adult - digital only",,,,,
"Eudora Community Library","Adult - homebound",,,,,
"Eudora Community Library","Adult - library associate",125,69,6,50,
"Eudora Community Library","Adult - library board of trustees",,,,,
"Eudora Community Library","Adult - other",10,4,5,1,
"Eudora Community Library","Adult - self registered during the pandemic",,,,,
"Eudora Community Library","Adult - temporary",,,,,
"Eudora Community Library","Highland Community College - community member",,,,,
"Eudora Community Library","Highland Community College - faculty",,,,,
"Eudora Community Library","Highland Community College - faculty outreach",,,,,
"Eudora Community Library","Highland Community College - staff",,,,,
"Eudora Community Library","Highland Community College - student",,,,,
"Eudora Community Library","Highland Community College - student outreach",,,,,
"Eudora Community Library","Louisburg - Hoopla access",,,,,
"Eudora Community Library","Minor - (age 00-11)",,,,,
"Eudora Community Library","Minor - (age 00-17)",167,58,62,47,
"Eudora Community Library","Minor - (age 12)",,,,,
"Eudora Community Library","Minor - (age 13-17)",,,,,
"Eudora Community Library","Minor - digital only (age 00-11)",,,,,
"Eudora Community Library","Minor - digital only (age 00-17)",,,,,
"Eudora Community Library","Minor - digital only (age 12)",,,,,
"Eudora Community Library","Minor - digital only (ages 13-17)",,,,,
"Eudora Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Eudora Community Library","Minor - other (age 00-17)",1,,1,,
"Eudora Community Library","Minor - temporary",,,,,
"Eudora Community Library","Organization - book club",9,9,,,
"Eudora Community Library","Organization - interlibrary loan (exempt-ILL)",5,3,2,,
"Eudora Community Library","Staff - in house use (exempt)",5,,,5,
"Eudora Community Library","Staff - library associate (exempt)",,,,,
"Eudora Community Library","Staff - Permissions template",,,,,
"Eudora Community Library","Staff - SIP user",,,,,
"Eudora Community Library","Staff - statistical purposes",,,,,
"Eudora Community Library","Staff - system login (exempt)",,,,,
"Eudora Community Library","Student (exempt)",,,,,
"Eudora Community Library","Student (public library)",,,,,
"Eudora Community Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Eudora Community Library","Teacher/Faculty/Administrator (public library)",724,223,79,422,
"Everest, Barnes Reading Room",Adult,89,38,1,50,
"Everest, Barnes Reading Room","Adult - college student",,,,,
"Everest, Barnes Reading Room","Adult - digital only",,,,,
"Everest, Barnes Reading Room","Adult - homebound",,,,,
"Everest, Barnes Reading Room","Adult - library associate",,,,,
"Everest, Barnes Reading Room","Adult - library board of trustees",,,,,
"Everest, Barnes Reading Room","Adult - other",55,10,2,43,
"Everest, Barnes Reading Room","Adult - self registered during the pandemic",,,,,
"Everest, Barnes Reading Room","Adult - temporary",,,,,
"Everest, Barnes Reading Room","Highland Community College - community member",,,,,
"Everest, Barnes Reading Room","Highland Community College - faculty",,,,,
"Everest, Barnes Reading Room","Highland Community College - faculty outreach",,,,,
"Everest, Barnes Reading Room","Highland Community College - staff",,,,,
"Everest, Barnes Reading Room","Highland Community College - student",,,,,
"Everest, Barnes Reading Room","Highland Community College - student outreach",,,,,
"Everest, Barnes Reading Room","Louisburg - Hoopla access",,,,,
"Everest, Barnes Reading Room","Minor - (age 00-11)",,,,,
"Everest, Barnes Reading Room","Minor - (age 00-17)",15,5,4,6,
"Everest, Barnes Reading Room","Minor - (age 12)",,,,,
"Everest, Barnes Reading Room","Minor - (age 13-17)",,,,,
"Everest, Barnes Reading Room","Minor - digital only (age 00-11)",,,,,
"Everest, Barnes Reading Room","Minor - digital only (age 00-17)",,,,,
"Everest, Barnes Reading Room","Minor - digital only (age 12)",,,,,
"Everest, Barnes Reading Room","Minor - digital only (ages 13-17)",,,,,
"Everest, Barnes Reading Room","Minor - Osawatomie student (age 00-17)",,,,,
"Everest, Barnes Reading Room","Minor - other (age 00-17)",26,4,4,18,
"Everest, Barnes Reading Room","Minor - temporary",,,,,
"Everest, Barnes Reading Room","Organization - book club",,,,,
"Everest, Barnes Reading Room","Organization - interlibrary loan (exempt-ILL)",,,,,
"Everest, Barnes Reading Room","Staff - in house use (exempt)",,,,,
"Everest, Barnes Reading Room","Staff - library associate (exempt)",,,,,
"Everest, Barnes Reading Room","Staff - Permissions template",,,,,
"Everest, Barnes Reading Room","Staff - SIP user",,,,,
"Everest, Barnes Reading Room","Staff - statistical purposes",,,,,
"Everest, Barnes Reading Room","Staff - system login (exempt)",,,,,
"Everest, Barnes Reading Room","Student (exempt)",,,,,
"Everest, Barnes Reading Room","Student (public library)",,,,,
"Everest, Barnes Reading Room","Teacher/Faculty/Administrator (exempt)",10,3,1,6,
"Everest, Barnes Reading Room","Teacher/Faculty/Administrator (public library)",,,,,
"Hiawatha, Morrill Public Library",Adult,1379,717,37,625,
"Hiawatha, Morrill Public Library","Adult - college student",,,,,
"Hiawatha, Morrill Public Library","Adult - digital only",,,,,
"Hiawatha, Morrill Public Library","Adult - homebound",,,,,
"Hiawatha, Morrill Public Library","Adult - library associate",,,,,
"Hiawatha, Morrill Public Library","Adult - library board of trustees",,,,,
"Hiawatha, Morrill Public Library","Adult - other",450,280,8,162,
"Hiawatha, Morrill Public Library","Adult - self registered during the pandemic",,,,,
"Hiawatha, Morrill Public Library","Adult - temporary",,,,,
"Hiawatha, Morrill Public Library","Highland Community College - community member",,,,,
"Hiawatha, Morrill Public Library","Highland Community College - faculty",1,,1,,
"Hiawatha, Morrill Public Library","Highland Community College - faculty outreach",,,,,
"Hiawatha, Morrill Public Library","Highland Community College - staff",,,,,
"Hiawatha, Morrill Public Library","Highland Community College - student",,,,,
"Hiawatha, Morrill Public Library","Highland Community College - student outreach",,,,,
"Hiawatha, Morrill Public Library","Louisburg - Hoopla access",,,,,
"Hiawatha, Morrill Public Library","Minor - (age 00-11)",,,,,
"Hiawatha, Morrill Public Library","Minor - (age 00-17)",182,26,24,132,
"Hiawatha, Morrill Public Library","Minor - (age 12)",,,,,
"Hiawatha, Morrill Public Library","Minor - (age 13-17)",,,,,
"Hiawatha, Morrill Public Library","Minor - digital only (age 00-11)",,,,,
"Hiawatha, Morrill Public Library","Minor - digital only (age 00-17)",,,,,
"Hiawatha, Morrill Public Library","Minor - digital only (age 12)",,,,,
"Hiawatha, Morrill Public Library","Minor - digital only (ages 13-17)",,,,,
"Hiawatha, Morrill Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Hiawatha, Morrill Public Library","Minor - other (age 00-17)",29,1,2,26,
"Hiawatha, Morrill Public Library","Minor - temporary",,,,,
"Hiawatha, Morrill Public Library","Organization - book club",18,18,,,
"Hiawatha, Morrill Public Library","Organization - interlibrary loan (exempt-ILL)",16,10,4,2,
"Hiawatha, Morrill Public Library","Staff - in house use (exempt)",,,,,
"Hiawatha, Morrill Public Library","Staff - library associate (exempt)",,,,,
"Hiawatha, Morrill Public Library","Staff - Permissions template",,,,,
"Hiawatha, Morrill Public Library","Staff - SIP user",,,,,
"Hiawatha, Morrill Public Library","Staff - statistical purposes",,,,,
"Hiawatha, Morrill Public Library","Staff - system login (exempt)",,,,,
"Hiawatha, Morrill Public Library","Student (exempt)",,,,,
"Hiawatha, Morrill Public Library","Student (public library)",,,,,
"Hiawatha, Morrill Public Library","Teacher/Faculty/Administrator (exempt)",59,7,11,41,
"Hiawatha, Morrill Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Highland Community College",Adult,3,3,,,
"Highland Community College","Adult - college student",,,,,
"Highland Community College","Adult - digital only",,,,,
"Highland Community College","Adult - homebound",,,,,
"Highland Community College","Adult - library associate",,,,,
"Highland Community College","Adult - library board of trustees",,,,,
"Highland Community College","Adult - other",,,,,
"Highland Community College","Adult - self registered during the pandemic",,,,,
"Highland Community College","Adult - temporary",,,,,
"Highland Community College","Highland Community College - community member",,,,,
"Highland Community College","Highland Community College - faculty",2,2,,,
"Highland Community College","Highland Community College - faculty outreach",,,,,
"Highland Community College","Highland Community College - staff",13,8,5,,
"Highland Community College","Highland Community College - student",52,50,,2,
"Highland Community College","Highland Community College - student outreach",,,,,
"Highland Community College","Louisburg - Hoopla access",,,,,
"Highland Community College","Minor - (age 00-11)",,,,,
"Highland Community College","Minor - (age 00-17)",,,,,
"Highland Community College","Minor - (age 12)",,,,,
"Highland Community College","Minor - (age 13-17)",,,,,
"Highland Community College","Minor - digital only (age 00-11)",,,,,
"Highland Community College","Minor - digital only (age 00-17)",,,,,
"Highland Community College","Minor - digital only (age 12)",,,,,
"Highland Community College","Minor - digital only (ages 13-17)",,,,,
"Highland Community College","Minor - Osawatomie student (age 00-17)",,,,,
"Highland Community College","Minor - other (age 00-17)",,,,,
"Highland Community College","Minor - temporary",,,,,
"Highland Community College","Organization - book club",,,,,
"Highland Community College","Organization - interlibrary loan (exempt-ILL)",6,6,,,
"Highland Community College","Staff - in house use (exempt)",,,,,
"Highland Community College","Staff - library associate (exempt)",,,,,
"Highland Community College","Staff - Permissions template",,,,,
"Highland Community College","Staff - SIP user",,,,,
"Highland Community College","Staff - statistical purposes",,,,,
"Highland Community College","Staff - system login (exempt)",,,,,
"Highland Community College","Student (exempt)",,,,,
"Highland Community College","Student (public library)",,,,,
"Highland Community College","Teacher/Faculty/Administrator (exempt)",,,,,
"Highland Community College","Teacher/Faculty/Administrator (public library)",,,,,
"Holton, Beck-Bookman Library",Adult,1618,963,35,620,
"Holton, Beck-Bookman Library","Adult - college student",,,,,
"Holton, Beck-Bookman Library","Adult - digital only",,,,,
"Holton, Beck-Bookman Library","Adult - homebound",,,,,
"Holton, Beck-Bookman Library","Adult - library associate",,,,,
"Holton, Beck-Bookman Library","Adult - library board of trustees",,,,,
"Holton, Beck-Bookman Library","Adult - other",,,,,
"Holton, Beck-Bookman Library","Adult - self registered during the pandemic",,,,,
"Holton, Beck-Bookman Library","Adult - temporary",,,,,
"Holton, Beck-Bookman Library","Highland Community College - community member",,,,,
"Holton, Beck-Bookman Library","Highland Community College - faculty",,,,,
"Holton, Beck-Bookman Library","Highland Community College - faculty outreach",,,,,
"Holton, Beck-Bookman Library","Highland Community College - staff",,,,,
"Holton, Beck-Bookman Library","Highland Community College - student",,,,,
"Holton, Beck-Bookman Library","Highland Community College - student outreach",,,,,
"Holton, Beck-Bookman Library","Louisburg - Hoopla access",,,,,
"Holton, Beck-Bookman Library","Minor - (age 00-11)",,,,,
"Holton, Beck-Bookman Library","Minor - (age 00-17)",275,36,43,196,
"Holton, Beck-Bookman Library","Minor - (age 12)",,,,,
"Holton, Beck-Bookman Library","Minor - (age 13-17)",,,,,
"Holton, Beck-Bookman Library","Minor - digital only (age 00-11)",,,,,
"Holton, Beck-Bookman Library","Minor - digital only (age 00-17)",,,,,
"Holton, Beck-Bookman Library","Minor - digital only (age 12)",,,,,
"Holton, Beck-Bookman Library","Minor - digital only (ages 13-17)",,,,,
"Holton, Beck-Bookman Library","Minor - Osawatomie student (age 00-17)",,,,,
"Holton, Beck-Bookman Library","Minor - other (age 00-17)",4,,,4,
"Holton, Beck-Bookman Library","Minor - temporary",,,,,
"Holton, Beck-Bookman Library","Organization - book club",,,,,
"Holton, Beck-Bookman Library","Organization - interlibrary loan (exempt-ILL)",43,30,2,11,
"Holton, Beck-Bookman Library","Staff - in house use (exempt)",,,,,
"Holton, Beck-Bookman Library","Staff - library associate (exempt)",88,77,3,8,
"Holton, Beck-Bookman Library","Staff - Permissions template",,,,,
"Holton, Beck-Bookman Library","Staff - SIP user",,,,,
"Holton, Beck-Bookman Library","Staff - statistical purposes",,,,,
"Holton, Beck-Bookman Library","Staff - system login (exempt)",,,,,
"Holton, Beck-Bookman Library","Student (exempt)",,,,,
"Holton, Beck-Bookman Library","Student (public library)",,,,,
"Holton, Beck-Bookman Library","Teacher/Faculty/Administrator (exempt)",216,43,3,170,
"Holton, Beck-Bookman Library","Teacher/Faculty/Administrator (public library)",,,,,
"Horton Public Library",Adult,129,101,7,21,
"Horton Public Library","Adult - college student",,,,,
"Horton Public Library","Adult - digital only",,,,,
"Horton Public Library","Adult - homebound",,,,,
"Horton Public Library","Adult - library associate",,,,,
"Horton Public Library","Adult - library board of trustees",,,,,
"Horton Public Library","Adult - other",,,,,
"Horton Public Library","Adult - self registered during the pandemic",,,,,
"Horton Public Library","Adult - temporary",,,,,
"Horton Public Library","Highland Community College - community member",,,,,
"Horton Public Library","Highland Community College - faculty",,,,,
"Horton Public Library","Highland Community College - faculty outreach",,,,,
"Horton Public Library","Highland Community College - staff",,,,,
"Horton Public Library","Highland Community College - student",,,,,
"Horton Public Library","Highland Community College - student outreach",,,,,
"Horton Public Library","Louisburg - Hoopla access",,,,,
"Horton Public Library","Minor - (age 00-11)",,,,,
"Horton Public Library","Minor - (age 00-17)",13,1,5,7,
"Horton Public Library","Minor - (age 12)",,,,,
"Horton Public Library","Minor - (age 13-17)",,,,,
"Horton Public Library","Minor - digital only (age 00-11)",,,,,
"Horton Public Library","Minor - digital only (age 00-17)",,,,,
"Horton Public Library","Minor - digital only (age 12)",,,,,
"Horton Public Library","Minor - digital only (ages 13-17)",,,,,
"Horton Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Horton Public Library","Minor - other (age 00-17)",8,,1,7,
"Horton Public Library","Minor - temporary",,,,,
"Horton Public Library","Organization - book club",,,,,
"Horton Public Library","Organization - interlibrary loan (exempt-ILL)",26,10,3,13,
"Horton Public Library","Staff - in house use (exempt)",,,,,
"Horton Public Library","Staff - library associate (exempt)",,,,,
"Horton Public Library","Staff - Permissions template",,,,,
"Horton Public Library","Staff - SIP user",,,,,
"Horton Public Library","Staff - statistical purposes",,,,,
"Horton Public Library","Staff - system login (exempt)",,,,,
"Horton Public Library","Student (exempt)",,,,,
"Horton Public Library","Student (public library)",,,,,
"Horton Public Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Horton Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Lansing Community Library",Adult,1950,938,101,910,1
"Lansing Community Library","Adult - college student",,,,,
"Lansing Community Library","Adult - digital only",,,,,
"Lansing Community Library","Adult - homebound",34,34,,,
"Lansing Community Library","Adult - library associate",,,,,
"Lansing Community Library","Adult - library board of trustees",,,,,
"Lansing Community Library","Adult - other",,,,,
"Lansing Community Library","Adult - self registered during the pandemic",,,,,
"Lansing Community Library","Adult - temporary",,,,,
"Lansing Community Library","Highland Community College - community member",,,,,
"Lansing Community Library","Highland Community College - faculty",,,,,
"Lansing Community Library","Highland Community College - faculty outreach",,,,,
"Lansing Community Library","Highland Community College - staff",,,,,
"Lansing Community Library","Highland Community College - student",,,,,
"Lansing Community Library","Highland Community College - student outreach",,,,,
"Lansing Community Library","Louisburg - Hoopla access",,,,,
"Lansing Community Library","Minor - (age 00-11)",86,8,9,69,
"Lansing Community Library","Minor - (age 00-17)",345,43,34,268,
"Lansing Community Library","Minor - (age 12)",3,,3,,
"Lansing Community Library","Minor - (age 13-17)",,,,,
"Lansing Community Library","Minor - digital only (age 00-11)",,,,,
"Lansing Community Library","Minor - digital only (age 00-17)",,,,,
"Lansing Community Library","Minor - digital only (age 12)",,,,,
"Lansing Community Library","Minor - digital only (ages 13-17)",,,,,
"Lansing Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Lansing Community Library","Minor - other (age 00-17)",,,,,
"Lansing Community Library","Minor - temporary",,,,,
"Lansing Community Library","Organization - book club",4,,1,3,
"Lansing Community Library","Organization - interlibrary loan (exempt-ILL)",15,7,5,3,
"Lansing Community Library","Staff - in house use (exempt)",7,,,7,
"Lansing Community Library","Staff - library associate (exempt)",13,5,7,1,
"Lansing Community Library","Staff - Permissions template",,,,,
"Lansing Community Library","Staff - SIP user",,,,,
"Lansing Community Library","Staff - statistical purposes",,,,,
"Lansing Community Library","Staff - system login (exempt)",,,,,
"Lansing Community Library","Student (exempt)",,,,,
"Lansing Community Library","Student (public library)",,,,,
"Lansing Community Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Lansing Community Library","Teacher/Faculty/Administrator (public library)",,,,,
"Leavenworth Public Library",Adult,8266,4556,356,3354,
"Leavenworth Public Library","Adult - college student",,,,,
"Leavenworth Public Library","Adult - digital only",,,,,
"Leavenworth Public Library","Adult - homebound",,,,,
"Leavenworth Public Library","Adult - library associate",,,,,
"Leavenworth Public Library","Adult - library board of trustees",53,53,,,
"Leavenworth Public Library","Adult - other",5,3,1,1,
"Leavenworth Public Library","Adult - self registered during the pandemic",,,,,
"Leavenworth Public Library","Adult - temporary",,,,,
"Leavenworth Public Library","Highland Community College - community member",,,,,
"Leavenworth Public Library","Highland Community College - faculty",,,,,
"Leavenworth Public Library","Highland Community College - faculty outreach",,,,,
"Leavenworth Public Library","Highland Community College - staff",,,,,
"Leavenworth Public Library","Highland Community College - student",,,,,
"Leavenworth Public Library","Highland Community College - student outreach",,,,,
"Leavenworth Public Library","Louisburg - Hoopla access",,,,,
"Leavenworth Public Library","Minor - (age 00-11)",1051,80,64,907,
"Leavenworth Public Library","Minor - (age 00-17)",66,3,19,44,
"Leavenworth Public Library","Minor - (age 12)",107,2,26,79,
"Leavenworth Public Library","Minor - (age 13-17)",169,65,45,59,
"Leavenworth Public Library","Minor - digital only (age 00-11)",,,,,
"Leavenworth Public Library","Minor - digital only (age 00-17)",,,,,
"Leavenworth Public Library","Minor - digital only (age 12)",,,,,
"Leavenworth Public Library","Minor - digital only (ages 13-17)",,,,,
"Leavenworth Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Leavenworth Public Library","Minor - other (age 00-17)",,,,,
"Leavenworth Public Library","Minor - temporary",,,,,
"Leavenworth Public Library","Organization - book club",,,,,
"Leavenworth Public Library","Organization - interlibrary loan (exempt-ILL)",56,30,7,19,
"Leavenworth Public Library","Staff - in house use (exempt)",128,53,8,67,
"Leavenworth Public Library","Staff - library associate (exempt)",410,302,33,75,
"Leavenworth Public Library","Staff - Permissions template",,,,,
"Leavenworth Public Library","Staff - SIP user",,,,,
"Leavenworth Public Library","Staff - statistical purposes",,,,,
"Leavenworth Public Library","Staff - system login (exempt)",,,,,
"Leavenworth Public Library","Student (exempt)",,,,,
"Leavenworth Public Library","Student (public library)",,,,,
"Leavenworth Public Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Leavenworth Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Linwood Community Library",Adult,754,297,32,425,
"Linwood Community Library","Adult - college student",,,,,
"Linwood Community Library","Adult - digital only",,,,,
"Linwood Community Library","Adult - homebound",,,,,
"Linwood Community Library","Adult - library associate",,,,,
"Linwood Community Library","Adult - library board of trustees",,,,,
"Linwood Community Library","Adult - other",18,11,,7,
"Linwood Community Library","Adult - self registered during the pandemic",,,,,
"Linwood Community Library","Adult - temporary",,,,,
"Linwood Community Library","Highland Community College - community member",,,,,
"Linwood Community Library","Highland Community College - faculty",,,,,
"Linwood Community Library","Highland Community College - faculty outreach",,,,,
"Linwood Community Library","Highland Community College - staff",,,,,
"Linwood Community Library","Highland Community College - student",,,,,
"Linwood Community Library","Highland Community College - student outreach",,,,,
"Linwood Community Library","Louisburg - Hoopla access",,,,,
"Linwood Community Library","Minor - (age 00-11)",,,,,
"Linwood Community Library","Minor - (age 00-17)",4,,,4,
"Linwood Community Library","Minor - (age 12)",,,,,
"Linwood Community Library","Minor - (age 13-17)",,,,,
"Linwood Community Library","Minor - digital only (age 00-11)",,,,,
"Linwood Community Library","Minor - digital only (age 00-17)",,,,,
"Linwood Community Library","Minor - digital only (age 12)",,,,,
"Linwood Community Library","Minor - digital only (ages 13-17)",,,,,
"Linwood Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Linwood Community Library","Minor - other (age 00-17)",,,,,
"Linwood Community Library","Minor - temporary",,,,,
"Linwood Community Library","Organization - book club",1,1,,,
"Linwood Community Library","Organization - interlibrary loan (exempt-ILL)",,,,,
"Linwood Community Library","Staff - in house use (exempt)",,,,,
"Linwood Community Library","Staff - library associate (exempt)",75,45,,30,
"Linwood Community Library","Staff - Permissions template",,,,,
"Linwood Community Library","Staff - SIP user",,,,,
"Linwood Community Library","Staff - statistical purposes",,,,,
"Linwood Community Library","Staff - system login (exempt)",,,,,
"Linwood Community Library","Student (exempt)",,,,,
"Linwood Community Library","Student (public library)",,,,,
"Linwood Community Library","Teacher/Faculty/Administrator (exempt)",18,7,,11,
"Linwood Community Library","Teacher/Faculty/Administrator (public library)",,,,,
"Louisburg Library",Adult,,,,,
"Louisburg Library","Adult - college student",,,,,
"Louisburg Library","Adult - digital only",,,,,
"Louisburg Library","Adult - homebound",,,,,
"Louisburg Library","Adult - library associate",,,,,
"Louisburg Library","Adult - library board of trustees",,,,,
"Louisburg Library","Adult - other",,,,,
"Louisburg Library","Adult - self registered during the pandemic",,,,,
"Louisburg Library","Adult - temporary",,,,,
"Louisburg Library","Highland Community College - community member",,,,,
"Louisburg Library","Highland Community College - faculty",,,,,
"Louisburg Library","Highland Community College - faculty outreach",,,,,
"Louisburg Library","Highland Community College - staff",,,,,
"Louisburg Library","Highland Community College - student",,,,,
"Louisburg Library","Highland Community College - student outreach",,,,,
"Louisburg Library","Louisburg - Hoopla access",,,,,
"Louisburg Library","Minor - (age 00-11)",,,,,
"Louisburg Library","Minor - (age 00-17)",,,,,
"Louisburg Library","Minor - (age 12)",,,,,
"Louisburg Library","Minor - (age 13-17)",,,,,
"Louisburg Library","Minor - digital only (age 00-11)",,,,,
"Louisburg Library","Minor - digital only (age 00-17)",,,,,
"Louisburg Library","Minor - digital only (age 12)",,,,,
"Louisburg Library","Minor - digital only (ages 13-17)",,,,,
"Louisburg Library","Minor - Osawatomie student (age 00-17)",,,,,
"Louisburg Library","Minor - other (age 00-17)",,,,,
"Louisburg Library","Minor - temporary",,,,,
"Louisburg Library","Organization - book club",,,,,
"Louisburg Library","Organization - interlibrary loan (exempt-ILL)",,,,,
"Louisburg Library","Staff - in house use (exempt)",,,,,
"Louisburg Library","Staff - library associate (exempt)",,,,,
"Louisburg Library","Staff - Permissions template",,,,,
"Louisburg Library","Staff - SIP user",,,,,
"Louisburg Library","Staff - statistical purposes",,,,,
"Louisburg Library","Staff - system login (exempt)",,,,,
"Louisburg Library","Student (exempt)",,,,,
"Louisburg Library","Student (public library)",,,,,
"Louisburg Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Louisburg Library","Teacher/Faculty/Administrator (public library)",,,,,
"Lyndon Carnegie Library",Adult,530,332,75,122,1
"Lyndon Carnegie Library","Adult - college student",,,,,
"Lyndon Carnegie Library","Adult - digital only",,,,,
"Lyndon Carnegie Library","Adult - homebound",,,,,
"Lyndon Carnegie Library","Adult - library associate",,,,,
