LIBRARY,BORROWER_CATEGORY,"TOTAL BORROWERS","BORROWERS RENEWED LAST MONTH","BORROWERS ADDED LAST MONTH","BORROWERS DELETED LAST MONTH","THIS LIBRARY CAN ACCESS THIS CATEGORY"
"Doniphan County Library - Troy","Minor-Digital only (ages 13-17)",,,,,
"Doniphan County Library - Troy","Osawatomie Student User",,,,,
"Doniphan County Library - Troy","Other Adult",3,,,,Yes
"Doniphan County Library - Troy","Other Child",1,,,,Yes
"Doniphan County Library - Troy","Self registerd",,,,,Yes
"Doniphan County Library - Troy","Student - Public Library",,,,,
"Doniphan County Library - Troy","Student (exempt)",,,,,
"Doniphan County Library - Troy","SYSTEM login only (exempt)",3,,,,
"Doniphan County Library - Troy","Teacher/Faculty/Administrator - Public Library",,,,,
"Doniphan County Library - Troy","Teacher/Faculty/Administrator (exempt)",6,,,,Yes
"Doniphan County Library - Wathena",Adult,441,4,4,11,Yes
"Doniphan County Library - Wathena","Adult temporary",,,,,
"Doniphan County Library - Wathena","Adult-Digital only",,,,,
"Doniphan County Library - Wathena","Book Club",2,,,,Yes
"Doniphan County Library - Wathena",Child,132,2,1,2,Yes
"Doniphan County Library - Wathena","College Student",,,,,Yes
"Doniphan County Library - Wathena","For statistical purposes ",,,,,Yes
"Doniphan County Library - Wathena","Highland Community College Community Member",,,,,
"Doniphan County Library - Wathena","Highland Community College Faculty",,,,,
"Doniphan County Library - Wathena","Highland Community College Faculty Outreach",,,,,
"Doniphan County Library - Wathena","Highland Community College Staff",,,,,
"Doniphan County Library - Wathena","Highland Community College Student",,,,,
"Doniphan County Library - Wathena","Highland Community College Student Outreach",,,,,
"Doniphan County Library - Wathena",Homebound,,,,,
"Doniphan County Library - Wathena","Hoopla E-Content User",,,,,
"Doniphan County Library - Wathena","Horton Family Other",,,,,
"Doniphan County Library - Wathena","Horton Family User",,,,,
"Doniphan County Library - Wathena","Horton Special User",,,,,
"Doniphan County Library - Wathena","In-House Use by Library Staff (exempt)",,,,,Yes
"Doniphan County Library - Wathena","Interlibrary Loan (exempt-ILL)",1,,,,Yes
"Doniphan County Library - Wathena","Library associate (exempt)",1,,,,Yes
"Doniphan County Library - Wathena","Library Associate.",,,,,
"Doniphan County Library - Wathena","Library Board",,,,,
"Doniphan County Library - Wathena","Minor - 0-11",,,,,
"Doniphan County Library - Wathena","Minor - 12",,,,,
"Doniphan County Library - Wathena","Minor - 13-17",,,,,
"Doniphan County Library - Wathena","Minor temporary",,,,,
"Doniphan County Library - Wathena","Minor-Digital only (age 00-11)",,,,,
"Doniphan County Library - Wathena","Minor-Digital only (age 00-17)",,,,,
"Doniphan County Library - Wathena","Minor-Digital only (age 12)",,,,,
"Doniphan County Library - Wathena","Minor-Digital only (ages 13-17)",,,,,
"Doniphan County Library - Wathena","Osawatomie Student User",,,,,
"Doniphan County Library - Wathena","Other Adult",,,,,Yes
"Doniphan County Library - Wathena","Other Child",,,,,Yes
"Doniphan County Library - Wathena","Self registerd",,,,,Yes
"Doniphan County Library - Wathena","Student - Public Library",,,,,
"Doniphan County Library - Wathena","Student (exempt)",,,,,
"Doniphan County Library - Wathena","SYSTEM login only (exempt)",1,,,,
"Doniphan County Library - Wathena","Teacher/Faculty/Administrator - Public Library",,,,,
"Doniphan County Library - Wathena","Teacher/Faculty/Administrator (exempt)",2,,,,Yes
"Effingham Community Library",Adult,165,4,,4,Yes
"Effingham Community Library","Adult temporary",,,,,
"Effingham Community Library","Adult-Digital only",,,,,
"Effingham Community Library","Book Club",,,,,Yes
"Effingham Community Library",Child,41,1,1,2,Yes
"Effingham Community Library","College Student",,,,,
"Effingham Community Library","For statistical purposes ",,,,,
"Effingham Community Library","Highland Community College Community Member",,,,,
"Effingham Community Library","Highland Community College Faculty",,,,,
"Effingham Community Library","Highland Community College Faculty Outreach",,,,,
"Effingham Community Library","Highland Community College Staff",,,,,
"Effingham Community Library","Highland Community College Student",,,,,
"Effingham Community Library","Highland Community College Student Outreach",,,,,
"Effingham Community Library",Homebound,1,,,,Yes
"Effingham Community Library","Hoopla E-Content User",,,,,
"Effingham Community Library","Horton Family Other",,,,,
"Effingham Community Library","Horton Family User",,,,,
"Effingham Community Library","Horton Special User",,,,,
"Effingham Community Library","In-House Use by Library Staff (exempt)",,,,,
"Effingham Community Library","Interlibrary Loan (exempt-ILL)",2,,,,Yes
"Effingham Community Library","Library associate (exempt)",4,1,,,Yes
"Effingham Community Library","Library Associate.",,,,,
"Effingham Community Library","Library Board",,,,,
"Effingham Community Library","Minor - 0-11",,,,,
"Effingham Community Library","Minor - 12",,,,,
"Effingham Community Library","Minor - 13-17",,,,,
"Effingham Community Library","Minor temporary",,,,,
"Effingham Community Library","Minor-Digital only (age 00-11)",,,,,
"Effingham Community Library","Minor-Digital only (age 00-17)",,,,,
"Effingham Community Library","Minor-Digital only (age 12)",,,,,
"Effingham Community Library","Minor-Digital only (ages 13-17)",,,,,
"Effingham Community Library","Osawatomie Student User",,,,,
"Effingham Community Library","Other Adult",74,3,,1,Yes
"Effingham Community Library","Other Child",15,,,,Yes
"Effingham Community Library","Self registerd",,,,,Yes
"Effingham Community Library","Student - Public Library",,,,,
"Effingham Community Library","Student (exempt)",,,,,
"Effingham Community Library","SYSTEM login only (exempt)",3,,,,
"Effingham Community Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Effingham Community Library","Teacher/Faculty/Administrator (exempt)",,,,,Yes
"Eudora Community Library",Adult,1641,24,22,13,Yes
"Eudora Community Library","Adult temporary",,,,,
"Eudora Community Library","Adult-Digital only",,,,,
"Eudora Community Library","Book Club",5,1,,,Yes
"Eudora Community Library",Child,420,5,35,4,Yes
"Eudora Community Library","College Student",2,,,,Yes
"Eudora Community Library","For statistical purposes ",,,,,
"Eudora Community Library","Highland Community College Community Member",,,,,
"Eudora Community Library","Highland Community College Faculty",,,,,
"Eudora Community Library","Highland Community College Faculty Outreach",,,,,
"Eudora Community Library","Highland Community College Staff",,,,,
"Eudora Community Library","Highland Community College Student",,,,,
"Eudora Community Library","Highland Community College Student Outreach",,,,,
"Eudora Community Library",Homebound,,,,,
"Eudora Community Library","Hoopla E-Content User",,,,,
"Eudora Community Library","Horton Family Other",,,,,
"Eudora Community Library","Horton Family User",,,,,
"Eudora Community Library","Horton Special User",,,,,
"Eudora Community Library","In-House Use by Library Staff (exempt)",1,,,,Yes
"Eudora Community Library","Interlibrary Loan (exempt-ILL)",1,,,,Yes
"Eudora Community Library","Library associate (exempt)",,,,,
"Eudora Community Library","Library Associate.",17,,,,Yes
"Eudora Community Library","Library Board",2,,,,Yes
"Eudora Community Library","Minor - 0-11",,,,,
"Eudora Community Library","Minor - 12",,,,,
"Eudora Community Library","Minor - 13-17",,,,,
"Eudora Community Library","Minor temporary",,,,,
"Eudora Community Library","Minor-Digital only (age 00-11)",,,,,
"Eudora Community Library","Minor-Digital only (age 00-17)",,,,,
"Eudora Community Library","Minor-Digital only (age 12)",,,,,
"Eudora Community Library","Minor-Digital only (ages 13-17)",,,,,
"Eudora Community Library","Osawatomie Student User",,,,,
"Eudora Community Library","Other Adult",40,,,,Yes
"Eudora Community Library","Other Child",6,,,,Yes
"Eudora Community Library","Self registerd",,,,,Yes
"Eudora Community Library","Student - Public Library",,,,,
"Eudora Community Library","Student (exempt)",,,,,
"Eudora Community Library","SYSTEM login only (exempt)",3,,,,
"Eudora Community Library","Teacher/Faculty/Administrator - Public Library",55,,,,Yes
"Eudora Community Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Everest, Barnes Reading Room",Adult,90,7,,,Yes
"Everest, Barnes Reading Room","Adult temporary",,,,,
"Everest, Barnes Reading Room","Adult-Digital only",,,,,
"Everest, Barnes Reading Room","Book Club",,,,,Yes
"Everest, Barnes Reading Room",Child,24,1,2,2,Yes
"Everest, Barnes Reading Room","College Student",,,,,
"Everest, Barnes Reading Room","For statistical purposes ",,,,,
"Everest, Barnes Reading Room","Highland Community College Community Member",,,,,
"Everest, Barnes Reading Room","Highland Community College Faculty",,,,,
"Everest, Barnes Reading Room","Highland Community College Faculty Outreach",,,,,
"Everest, Barnes Reading Room","Highland Community College Staff",,,,,
"Everest, Barnes Reading Room","Highland Community College Student",,,,,
"Everest, Barnes Reading Room","Highland Community College Student Outreach",,,,,
"Everest, Barnes Reading Room",Homebound,,,,,
"Everest, Barnes Reading Room","Hoopla E-Content User",,,,,
"Everest, Barnes Reading Room","Horton Family Other",,,,,
"Everest, Barnes Reading Room","Horton Family User",,,,,
"Everest, Barnes Reading Room","Horton Special User",,,,,
"Everest, Barnes Reading Room","In-House Use by Library Staff (exempt)",1,,,1,Yes
"Everest, Barnes Reading Room","Interlibrary Loan (exempt-ILL)",,,,,Yes
"Everest, Barnes Reading Room","Library associate (exempt)",,,,,
"Everest, Barnes Reading Room","Library Associate.",,,,,
"Everest, Barnes Reading Room","Library Board",,,,,
"Everest, Barnes Reading Room","Minor - 0-11",,,,,
"Everest, Barnes Reading Room","Minor - 12",,,,,
"Everest, Barnes Reading Room","Minor - 13-17",,,,,
"Everest, Barnes Reading Room","Minor temporary",,,,,
"Everest, Barnes Reading Room","Minor-Digital only (age 00-11)",,,,,
"Everest, Barnes Reading Room","Minor-Digital only (age 00-17)",,,,,
"Everest, Barnes Reading Room","Minor-Digital only (age 12)",,,,,
"Everest, Barnes Reading Room","Minor-Digital only (ages 13-17)",,,,,
"Everest, Barnes Reading Room","Osawatomie Student User",,,,,
"Everest, Barnes Reading Room","Other Adult",5,1,,,Yes
"Everest, Barnes Reading Room","Other Child",,,,,Yes
"Everest, Barnes Reading Room","Self registerd",,,,,Yes
"Everest, Barnes Reading Room","Student - Public Library",,,,,
"Everest, Barnes Reading Room","Student (exempt)",,,,,
"Everest, Barnes Reading Room","SYSTEM login only (exempt)",3,,,,
"Everest, Barnes Reading Room","Teacher/Faculty/Administrator - Public Library",,,,,
"Everest, Barnes Reading Room","Teacher/Faculty/Administrator (exempt)",2,,,1,Yes
"Hiawatha, Morrill Public Library",Adult,1262,26,9,8,Yes
"Hiawatha, Morrill Public Library","Adult temporary",,,,,
"Hiawatha, Morrill Public Library","Adult-Digital only",,,,,
"Hiawatha, Morrill Public Library","Book Club",4,,,,Yes
"Hiawatha, Morrill Public Library",Child,306,8,5,4,Yes
"Hiawatha, Morrill Public Library","College Student",,,,,
"Hiawatha, Morrill Public Library","For statistical purposes ",,,,,
"Hiawatha, Morrill Public Library","Highland Community College Community Member",,,,,
"Hiawatha, Morrill Public Library","Highland Community College Faculty",,,,,
"Hiawatha, Morrill Public Library","Highland Community College Faculty Outreach",,,,,
"Hiawatha, Morrill Public Library","Highland Community College Staff",,,,,
"Hiawatha, Morrill Public Library","Highland Community College Student",,,,,
"Hiawatha, Morrill Public Library","Highland Community College Student Outreach",,,,,
"Hiawatha, Morrill Public Library",Homebound,,,,,
"Hiawatha, Morrill Public Library","Hoopla E-Content User",,,,,
"Hiawatha, Morrill Public Library","Horton Family Other",,,,,
"Hiawatha, Morrill Public Library","Horton Family User",,,,,
"Hiawatha, Morrill Public Library","Horton Special User",,,,,
"Hiawatha, Morrill Public Library","In-House Use by Library Staff (exempt)",,,,,
"Hiawatha, Morrill Public Library","Interlibrary Loan (exempt-ILL)",99,,,,Yes
"Hiawatha, Morrill Public Library","Library associate (exempt)",,,,,
"Hiawatha, Morrill Public Library","Library Associate.",,,,,
"Hiawatha, Morrill Public Library","Library Board",,,,,
"Hiawatha, Morrill Public Library","Minor - 0-11",,,,,
"Hiawatha, Morrill Public Library","Minor - 12",,,,,
"Hiawatha, Morrill Public Library","Minor - 13-17",,,,,
"Hiawatha, Morrill Public Library","Minor temporary",,,,,
"Hiawatha, Morrill Public Library","Minor-Digital only (age 00-11)",,,,,
"Hiawatha, Morrill Public Library","Minor-Digital only (age 00-17)",,,,,
"Hiawatha, Morrill Public Library","Minor-Digital only (age 12)",,,,,
"Hiawatha, Morrill Public Library","Minor-Digital only (ages 13-17)",,,,,
"Hiawatha, Morrill Public Library","Osawatomie Student User",,,,,
"Hiawatha, Morrill Public Library","Other Adult",723,23,4,13,Yes
"Hiawatha, Morrill Public Library","Other Child",154,1,2,4,Yes
"Hiawatha, Morrill Public Library","Self registerd",2,,,,Yes
"Hiawatha, Morrill Public Library","Student - Public Library",,,,,
"Hiawatha, Morrill Public Library","Student (exempt)",,,,,
"Hiawatha, Morrill Public Library","SYSTEM login only (exempt)",7,,,,
"Hiawatha, Morrill Public Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Hiawatha, Morrill Public Library","Teacher/Faculty/Administrator (exempt)",18,2,,,Yes
"Highland Community College",Adult,19,,,,
"Highland Community College","Adult temporary",,,,,
"Highland Community College","Adult-Digital only",,,,,
"Highland Community College","Book Club",,,,,
"Highland Community College",Child,,,,,
"Highland Community College","College Student",,,,,
"Highland Community College","For statistical purposes ",,,,,
"Highland Community College","Highland Community College Community Member",26,,,,Yes
"Highland Community College","Highland Community College Faculty",34,,1,,Yes
"Highland Community College","Highland Community College Faculty Outreach",33,2,3,,Yes
"Highland Community College","Highland Community College Staff",69,,1,,Yes
"Highland Community College","Highland Community College Student",2005,,3,10,Yes
"Highland Community College","Highland Community College Student Outreach",6555,3,,5,Yes
"Highland Community College",Homebound,,,,,
"Highland Community College","Hoopla E-Content User",,,,,
"Highland Community College","Horton Family Other",,,,,
"Highland Community College","Horton Family User",,,,,
"Highland Community College","Horton Special User",,,,,
"Highland Community College","In-House Use by Library Staff (exempt)",,,,,
"Highland Community College","Interlibrary Loan (exempt-ILL)",13,,,,
"Highland Community College","Library associate (exempt)",,,,,
"Highland Community College","Library Associate.",,,,,
"Highland Community College","Library Board",,,,,
"Highland Community College","Minor - 0-11",,,,,
"Highland Community College","Minor - 12",,,,,
"Highland Community College","Minor - 13-17",,,,,
"Highland Community College","Minor temporary",,,,,
"Highland Community College","Minor-Digital only (age 00-11)",,,,,
"Highland Community College","Minor-Digital only (age 00-17)",,,,,
"Highland Community College","Minor-Digital only (age 12)",,,,,
"Highland Community College","Minor-Digital only (ages 13-17)",,,,,
"Highland Community College","Osawatomie Student User",,,,,
"Highland Community College","Other Adult",2,,,,
"Highland Community College","Other Child",,,,,
"Highland Community College","Self registerd",,,,,Yes
"Highland Community College","Student - Public Library",,,,,
"Highland Community College","Student (exempt)",,,,,
"Highland Community College","SYSTEM login only (exempt)",6,,,,
"Highland Community College","Teacher/Faculty/Administrator - Public Library",,,,,
"Highland Community College","Teacher/Faculty/Administrator (exempt)",,,,,
"Holton, Beck-Bookman Library",Adult,2905,43,17,41,Yes
"Holton, Beck-Bookman Library","Adult temporary",,,,,
"Holton, Beck-Bookman Library","Adult-Digital only",,,,,
"Holton, Beck-Bookman Library","Book Club",1,,,,Yes
"Holton, Beck-Bookman Library",Child,659,12,1,3,Yes
"Holton, Beck-Bookman Library","College Student",,,,,
"Holton, Beck-Bookman Library","For statistical purposes ",,,,,
"Holton, Beck-Bookman Library","Highland Community College Community Member",,,,,
"Holton, Beck-Bookman Library","Highland Community College Faculty",,,,,
"Holton, Beck-Bookman Library","Highland Community College Faculty Outreach",,,,,
"Holton, Beck-Bookman Library","Highland Community College Staff",,,,,
"Holton, Beck-Bookman Library","Highland Community College Student",,,,,
"Holton, Beck-Bookman Library","Highland Community College Student Outreach",,,,,
"Holton, Beck-Bookman Library",Homebound,,,,,
"Holton, Beck-Bookman Library","Hoopla E-Content User",,,,,
"Holton, Beck-Bookman Library","Horton Family Other",,,,,
"Holton, Beck-Bookman Library","Horton Family User",,,,,
"Holton, Beck-Bookman Library","Horton Special User",,,,,
"Holton, Beck-Bookman Library","In-House Use by Library Staff (exempt)",,,,,
"Holton, Beck-Bookman Library","Interlibrary Loan (exempt-ILL)",338,,,,Yes
"Holton, Beck-Bookman Library","Library associate (exempt)",11,,,,Yes
"Holton, Beck-Bookman Library","Library Associate.",,,,,
"Holton, Beck-Bookman Library","Library Board",,,,,
"Holton, Beck-Bookman Library","Minor - 0-11",,,,,
"Holton, Beck-Bookman Library","Minor - 12",,,,,
"Holton, Beck-Bookman Library","Minor - 13-17",,,,,
"Holton, Beck-Bookman Library","Minor temporary",,,,,
"Holton, Beck-Bookman Library","Minor-Digital only (age 00-11)",,,,,
"Holton, Beck-Bookman Library","Minor-Digital only (age 00-17)",,,,,
"Holton, Beck-Bookman Library","Minor-Digital only (age 12)",,,,,
"Holton, Beck-Bookman Library","Minor-Digital only (ages 13-17)",,,,,
"Holton, Beck-Bookman Library","Osawatomie Student User",,,,,
"Holton, Beck-Bookman Library","Other Adult",,,,,Yes
"Holton, Beck-Bookman Library","Other Child",24,,24,,Yes
"Holton, Beck-Bookman Library","Self registerd",2,,,,Yes
"Holton, Beck-Bookman Library","Student - Public Library",,,,,
"Holton, Beck-Bookman Library","Student (exempt)",,,,,
"Holton, Beck-Bookman Library","SYSTEM login only (exempt)",3,,,,
"Holton, Beck-Bookman Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Holton, Beck-Bookman Library","Teacher/Faculty/Administrator (exempt)",55,,,,Yes
"Horton Public Library",Adult,810,9,4,5,Yes
"Horton Public Library","Adult temporary",,,,,
"Horton Public Library","Adult-Digital only",,,,,
"Horton Public Library","Book Club",,,,,Yes
"Horton Public Library",Child,178,3,,,Yes
"Horton Public Library","College Student",,,,,
"Horton Public Library","For statistical purposes ",7,,,,Yes
"Horton Public Library","Highland Community College Community Member",,,,,
"Horton Public Library","Highland Community College Faculty",,,,,
"Horton Public Library","Highland Community College Faculty Outreach",,,,,
"Horton Public Library","Highland Community College Staff",,,,,
"Horton Public Library","Highland Community College Student",,,,,
"Horton Public Library","Highland Community College Student Outreach",,,,,
"Horton Public Library",Homebound,,,,,
"Horton Public Library","Hoopla E-Content User",,,,,
"Horton Public Library","Horton Family Other",,,,,
"Horton Public Library","Horton Family User",,,,,
"Horton Public Library","Horton Special User",,,,,
"Horton Public Library","In-House Use by Library Staff (exempt)",3,,,,Yes
"Horton Public Library","Interlibrary Loan (exempt-ILL)",177,,,,Yes
"Horton Public Library","Library associate (exempt)",,,,,
"Horton Public Library","Library Associate.",6,,,,Yes
"Horton Public Library","Library Board",,,,,
"Horton Public Library","Minor - 0-11",,,,,
"Horton Public Library","Minor - 12",,,,,
"Horton Public Library","Minor - 13-17",,,,,
"Horton Public Library","Minor temporary",,,,,
"Horton Public Library","Minor-Digital only (age 00-11)",,,,,
"Horton Public Library","Minor-Digital only (age 00-17)",,,,,
"Horton Public Library","Minor-Digital only (age 12)",,,,,
"Horton Public Library","Minor-Digital only (ages 13-17)",,,,,
"Horton Public Library","Osawatomie Student User",,,,,
"Horton Public Library","Other Adult",,,,,
"Horton Public Library","Other Child",,,,,
"Horton Public Library","Self registerd",,,,,Yes
"Horton Public Library","Student - Public Library",,,,,
"Horton Public Library","Student (exempt)",,,,,
"Horton Public Library","SYSTEM login only (exempt)",4,,,,
"Horton Public Library","Teacher/Faculty/Administrator - Public Library",3,,,,Yes
"Horton Public Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Lansing Community Library",Adult,2210,41,18,41,Yes
"Lansing Community Library","Adult temporary",,,,,
"Lansing Community Library","Adult-Digital only",27,,10,20,Yes
"Lansing Community Library","Book Club",1,,,,Yes
"Lansing Community Library",Child,797,8,5,28,Yes
"Lansing Community Library","College Student",,,,,
"Lansing Community Library","For statistical purposes ",,,,,
"Lansing Community Library","Highland Community College Community Member",,,,,
"Lansing Community Library","Highland Community College Faculty",,,,,
"Lansing Community Library","Highland Community College Faculty Outreach",,,,,
"Lansing Community Library","Highland Community College Staff",,,,,
"Lansing Community Library","Highland Community College Student",,,,,
"Lansing Community Library","Highland Community College Student Outreach",,,,,
"Lansing Community Library",Homebound,23,2,4,2,Yes
"Lansing Community Library","Hoopla E-Content User",,,,,
"Lansing Community Library","Horton Family Other",,,,,
"Lansing Community Library","Horton Family User",,,,,
"Lansing Community Library","Horton Special User",,,,,
"Lansing Community Library","In-House Use by Library Staff (exempt)",4,,,,Yes
"Lansing Community Library","Interlibrary Loan (exempt-ILL)",2,,,,Yes
"Lansing Community Library","Library associate (exempt)",3,,,,Yes
"Lansing Community Library","Library Associate.",,,,,
"Lansing Community Library","Library Board",,,,,
"Lansing Community Library","Minor - 0-11",15,,,,
"Lansing Community Library","Minor - 12",2,,,1,
"Lansing Community Library","Minor - 13-17",19,,,1,
"Lansing Community Library","Minor temporary",,,,,
"Lansing Community Library","Minor-Digital only (age 00-11)",,,,,
"Lansing Community Library","Minor-Digital only (age 00-17)",3,,,5,Yes
"Lansing Community Library","Minor-Digital only (age 12)",,,,,
"Lansing Community Library","Minor-Digital only (ages 13-17)",1,,,,
"Lansing Community Library","Osawatomie Student User",,,,,
"Lansing Community Library","Other Adult",2,,,,Yes
"Lansing Community Library","Other Child",,,,,Yes
"Lansing Community Library","Self registerd",,,,,Yes
"Lansing Community Library","Student - Public Library",,,,,
"Lansing Community Library","Student (exempt)",,,,,
"Lansing Community Library","SYSTEM login only (exempt)",9,,,,
"Lansing Community Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Lansing Community Library","Teacher/Faculty/Administrator (exempt)",7,,,,Yes
"Leavenworth Public Library",Adult,11728,160,86,187,Yes
"Leavenworth Public Library","Adult temporary",84,,9,20,Yes
"Leavenworth Public Library","Adult-Digital only",150,,,1,Yes
"Leavenworth Public Library","Book Club",,,,,
"Leavenworth Public Library",Child,24,,,,
"Leavenworth Public Library","College Student",,,,,
"Leavenworth Public Library","For statistical purposes ",,,,,
"Leavenworth Public Library","Highland Community College Community Member",,,,,
"Leavenworth Public Library","Highland Community College Faculty",,,,,
"Leavenworth Public Library","Highland Community College Faculty Outreach",,,,,
"Leavenworth Public Library","Highland Community College Staff",,,,,
"Leavenworth Public Library","Highland Community College Student",,,,,
"Leavenworth Public Library","Highland Community College Student Outreach",,,,,
"Leavenworth Public Library",Homebound,,,,,
"Leavenworth Public Library","Hoopla E-Content User",,,,,
"Leavenworth Public Library","Horton Family Other",,,,,
"Leavenworth Public Library","Horton Family User",,,,,
"Leavenworth Public Library","Horton Special User",,,,,
"Leavenworth Public Library","In-House Use by Library Staff (exempt)",17,1,,,Yes
"Leavenworth Public Library","Interlibrary Loan (exempt-ILL)",1,,,,Yes
"Leavenworth Public Library","Library associate (exempt)",28,1,,,Yes
"Leavenworth Public Library","Library Associate.",,,,,
"Leavenworth Public Library","Library Board",8,,,1,Yes
"Leavenworth Public Library","Minor - 0-11",1279,7,30,19,Yes
"Leavenworth Public Library","Minor - 12",249,5,3,7,Yes
"Leavenworth Public Library","Minor - 13-17",1022,14,9,28,Yes
"Leavenworth Public Library","Minor temporary",,,,,
"Leavenworth Public Library","Minor-Digital only (age 00-11)",14,,1,,Yes
"Leavenworth Public Library","Minor-Digital only (age 00-17)",,,,,
"Leavenworth Public Library","Minor-Digital only (age 12)",3,,,,Yes
"Leavenworth Public Library","Minor-Digital only (ages 13-17)",30,1,,,Yes
"Leavenworth Public Library","Osawatomie Student User",,,,,
"Leavenworth Public Library","Other Adult",,,,,
"Leavenworth Public Library","Other Child",,,,,
"Leavenworth Public Library","Self registerd",1,,,,Yes
"Leavenworth Public Library","Student - Public Library",,,,,
"Leavenworth Public Library","Student (exempt)",,,,,
"Leavenworth Public Library","SYSTEM login only (exempt)",10,,,,
"Leavenworth Public Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Leavenworth Public Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Linwood Community Library",Adult,480,20,7,10,Yes
"Linwood Community Library","Adult temporary",,,,,
"Linwood Community Library","Adult-Digital only",,,,,
"Linwood Community Library","Book Club",,,,,Yes
"Linwood Community Library",Child,91,3,,3,Yes
"Linwood Community Library","College Student",,,,,
"Linwood Community Library","For statistical purposes ",1,,,,Yes
"Linwood Community Library","Highland Community College Community Member",,,,,
"Linwood Community Library","Highland Community College Faculty",,,,,
"Linwood Community Library","Highland Community College Faculty Outreach",,,,,
"Linwood Community Library","Highland Community College Staff",,,,,
"Linwood Community Library","Highland Community College Student",,,,,
"Linwood Community Library","Highland Community College Student Outreach",,,,,
"Linwood Community Library",Homebound,,,,,
"Linwood Community Library","Hoopla E-Content User",,,,,
"Linwood Community Library","Horton Family Other",,,,,
"Linwood Community Library","Horton Family User",,,,,
"Linwood Community Library","Horton Special User",,,,,
"Linwood Community Library","In-House Use by Library Staff (exempt)",,,,,
"Linwood Community Library","Interlibrary Loan (exempt-ILL)",,,,,Yes
"Linwood Community Library","Library associate (exempt)",1,,,,Yes
"Linwood Community Library","Library Associate.",,,,,
"Linwood Community Library","Library Board",,,,,
"Linwood Community Library","Minor - 0-11",,,,,
"Linwood Community Library","Minor - 12",,,,,
"Linwood Community Library","Minor - 13-17",,,,,
"Linwood Community Library","Minor temporary",,,,,
"Linwood Community Library","Minor-Digital only (age 00-11)",,,,,
"Linwood Community Library","Minor-Digital only (age 00-17)",,,,,
"Linwood Community Library","Minor-Digital only (age 12)",,,,,
"Linwood Community Library","Minor-Digital only (ages 13-17)",,,,,
"Linwood Community Library","Osawatomie Student User",,,,,
"Linwood Community Library","Other Adult",19,1,,,Yes
"Linwood Community Library","Other Child",,,,,Yes
"Linwood Community Library","Self registerd",,,,,Yes
"Linwood Community Library","Student - Public Library",,,,,
"Linwood Community Library","Student (exempt)",,,,,
"Linwood Community Library","SYSTEM login only (exempt)",7,,,,
"Linwood Community Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Linwood Community Library","Teacher/Faculty/Administrator (exempt)",16,,,,Yes
"Louisburg Library",Adult,1,,,,
"Louisburg Library","Adult temporary",,,,,
"Louisburg Library","Adult-Digital only",,,,,
"Louisburg Library","Book Club",,,,,
"Louisburg Library",Child,,,,,
"Louisburg Library","College Student",,,,,
"Louisburg Library","For statistical purposes ",,,,,
"Louisburg Library","Highland Community College Community Member",,,,,
"Louisburg Library","Highland Community College Faculty",,,,,
"Louisburg Library","Highland Community College Faculty Outreach",,,,,
"Louisburg Library","Highland Community College Staff",,,,,
"Louisburg Library","Highland Community College Student",,,,,
"Louisburg Library","Highland Community College Student Outreach",,,,,
"Louisburg Library",Homebound,,,,,
"Louisburg Library","Hoopla E-Content User",526,3,4,,Yes
"Louisburg Library","Horton Family Other",,,,,
"Louisburg Library","Horton Family User",,,,,
"Louisburg Library","Horton Special User",,,,,
"Louisburg Library","In-House Use by Library Staff (exempt)",,,,,
"Louisburg Library","Interlibrary Loan (exempt-ILL)",,,,,
"Louisburg Library","Library associate (exempt)",,,,,
"Louisburg Library","Library Associate.",,,,,
"Louisburg Library","Library Board",,,,,
"Louisburg Library","Minor - 0-11",,,,,
"Louisburg Library","Minor - 12",,,,,
"Louisburg Library","Minor - 13-17",,,,,
"Louisburg Library","Minor temporary",,,,,
"Louisburg Library","Minor-Digital only (age 00-11)",,,,,
"Louisburg Library","Minor-Digital only (age 00-17)",,,,,
"Louisburg Library","Minor-Digital only (age 12)",,,,,
"Louisburg Library","Minor-Digital only (ages 13-17)",,,,,
"Louisburg Library","Osawatomie Student User",,,,,
"Louisburg Library","Other Adult",,,,,
"Louisburg Library","Other Child",,,,,
"Louisburg Library","Self registerd",14,,1,,Yes
"Louisburg Library","Student - Public Library",,,,,
"Louisburg Library","Student (exempt)",,,,,
"Louisburg Library","SYSTEM login only (exempt)",2,,,,
"Louisburg Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Louisburg Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Lyndon Carnegie Library",Adult,712,12,6,12,Yes
"Lyndon Carnegie Library","Adult temporary",,,,,
"Lyndon Carnegie Library","Adult-Digital only",,,,,
"Lyndon Carnegie Library","Book Club",5,,,,Yes
"Lyndon Carnegie Library",Child,197,4,2,2,Yes
"Lyndon Carnegie Library","College Student",,,,,
