LIBRARY,BORROWER_CATEGORY,"TOTAL BORROWERS","BORROWERS RENEWED LAST MONTH","BORROWERS ADDED LAST MONTH","BORROWERS DELETED LAST MONTH","THIS LIBRARY CAN ACCESS THIS CATEGORY"
"Doniphan County Library - Troy","Minor - (age 12)",,,,,
"Doniphan County Library - Troy","Minor - (age 13-17)",,,,,
"Doniphan County Library - Troy","Minor - digital only (age 00-11)",,,,,
"Doniphan County Library - Troy","Minor - digital only (age 00-17)",,,,,
"Doniphan County Library - Troy","Minor - digital only (age 12)",,,,,
"Doniphan County Library - Troy","Minor - digital only (ages 13-17)",,,,,
"Doniphan County Library - Troy","Minor - Osawatomie student (age 00-17)",,,,,
"Doniphan County Library - Troy","Minor - other (age 00-17)",4,,,,Yes
"Doniphan County Library - Troy","Minor - temporary",,,,,
"Doniphan County Library - Troy","Organization - book club",1,,,,Yes
"Doniphan County Library - Troy","Organization - interlibrary loan (exempt-ILL)",2,,,,Yes
"Doniphan County Library - Troy","Staff - in house use (exempt)",2,,,,Yes
"Doniphan County Library - Troy","Staff - library associate (exempt)",12,2,,,Yes
"Doniphan County Library - Troy","Staff - Permissions template",,,,,
"Doniphan County Library - Troy","Staff - SIP user",1,,,,
"Doniphan County Library - Troy","Staff - statistical purposes",2,,,,Yes
"Doniphan County Library - Troy","Staff - system login (exempt)",22,,,,
"Doniphan County Library - Troy","Student (exempt)",,,,,
"Doniphan County Library - Troy","Student (public library)",,,,,
"Doniphan County Library - Troy","Teacher/Faculty/Administrator (exempt)",7,1,,,Yes
"Doniphan County Library - Troy","Teacher/Faculty/Administrator (public library)",,,,,
"Doniphan County Library - Wathena",Adult,427,9,,,Yes
"Doniphan County Library - Wathena","Adult - college student",,,,,Yes
"Doniphan County Library - Wathena","Adult - digital only",,,,,
"Doniphan County Library - Wathena","Adult - homebound",,,,,
"Doniphan County Library - Wathena","Adult - library associate",,,,,
"Doniphan County Library - Wathena","Adult - library board of trustees",,,,,
"Doniphan County Library - Wathena","Adult - other",,,,,Yes
"Doniphan County Library - Wathena","Adult - self registered during the pandemic",,,,,
"Doniphan County Library - Wathena","Adult - temporary",,,,,
"Doniphan County Library - Wathena","Highland Community College - community member",,,,,
"Doniphan County Library - Wathena","Highland Community College - faculty",,,,,
"Doniphan County Library - Wathena","Highland Community College - faculty outreach",,,,,
"Doniphan County Library - Wathena","Highland Community College - staff",,,,,
"Doniphan County Library - Wathena","Highland Community College - student",,,,,
"Doniphan County Library - Wathena","Highland Community College - student outreach",,,,,
"Doniphan County Library - Wathena","Louisburg - Hoopla access",,,,,
"Doniphan County Library - Wathena","Minor - (age 00-11)",,,,,
"Doniphan County Library - Wathena","Minor - (age 00-17)",121,1,1,,Yes
"Doniphan County Library - Wathena","Minor - (age 12)",,,,,
"Doniphan County Library - Wathena","Minor - (age 13-17)",,,,,
"Doniphan County Library - Wathena","Minor - digital only (age 00-11)",,,,,
"Doniphan County Library - Wathena","Minor - digital only (age 00-17)",,,,,
"Doniphan County Library - Wathena","Minor - digital only (age 12)",,,,,
"Doniphan County Library - Wathena","Minor - digital only (ages 13-17)",,,,,
"Doniphan County Library - Wathena","Minor - Osawatomie student (age 00-17)",,,,,
"Doniphan County Library - Wathena","Minor - other (age 00-17)",,,,,Yes
"Doniphan County Library - Wathena","Minor - temporary",,,,,
"Doniphan County Library - Wathena","Organization - book club",3,,,,Yes
"Doniphan County Library - Wathena","Organization - interlibrary loan (exempt-ILL)",1,,,,Yes
"Doniphan County Library - Wathena","Staff - in house use (exempt)",,,,,Yes
"Doniphan County Library - Wathena","Staff - library associate (exempt)",1,,,,Yes
"Doniphan County Library - Wathena","Staff - Permissions template",,,,,
"Doniphan County Library - Wathena","Staff - SIP user",,,,,
"Doniphan County Library - Wathena","Staff - statistical purposes",,,,,Yes
"Doniphan County Library - Wathena","Staff - system login (exempt)",21,,,,
"Doniphan County Library - Wathena","Student (exempt)",,,,,
"Doniphan County Library - Wathena","Student (public library)",,,,,
"Doniphan County Library - Wathena","Teacher/Faculty/Administrator (exempt)",2,,,,Yes
"Doniphan County Library - Wathena","Teacher/Faculty/Administrator (public library)",,,,,
"Effingham Community Library",Adult,178,4,2,1,Yes
"Effingham Community Library","Adult - college student",,,,,
"Effingham Community Library","Adult - digital only",,,,,
"Effingham Community Library","Adult - homebound",1,,,,Yes
"Effingham Community Library","Adult - library associate",,,,,
"Effingham Community Library","Adult - library board of trustees",,,,,
"Effingham Community Library","Adult - other",71,1,,,Yes
"Effingham Community Library","Adult - self registered during the pandemic",,,,,
"Effingham Community Library","Adult - temporary",,,,,
"Effingham Community Library","Highland Community College - community member",,,,,
"Effingham Community Library","Highland Community College - faculty",,,,,
"Effingham Community Library","Highland Community College - faculty outreach",,,,,
"Effingham Community Library","Highland Community College - staff",,,,,
"Effingham Community Library","Highland Community College - student",,,,,
"Effingham Community Library","Highland Community College - student outreach",,,,,
"Effingham Community Library","Louisburg - Hoopla access",,,,,
"Effingham Community Library","Minor - (age 00-11)",,,,,
"Effingham Community Library","Minor - (age 00-17)",58,1,,,Yes
"Effingham Community Library","Minor - (age 12)",,,,,
"Effingham Community Library","Minor - (age 13-17)",,,,,
"Effingham Community Library","Minor - digital only (age 00-11)",,,,,
"Effingham Community Library","Minor - digital only (age 00-17)",,,,,
"Effingham Community Library","Minor - digital only (age 12)",,,,,
"Effingham Community Library","Minor - digital only (ages 13-17)",,,,,
"Effingham Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Effingham Community Library","Minor - other (age 00-17)",14,,,,Yes
"Effingham Community Library","Minor - temporary",,,,,
"Effingham Community Library","Organization - book club",1,,,,Yes
"Effingham Community Library","Organization - interlibrary loan (exempt-ILL)",2,,,,Yes
"Effingham Community Library","Staff - in house use (exempt)",,,,,
"Effingham Community Library","Staff - library associate (exempt)",3,,,,Yes
"Effingham Community Library","Staff - Permissions template",,,,,
"Effingham Community Library","Staff - SIP user",,,,,
"Effingham Community Library","Staff - statistical purposes",,,,,
"Effingham Community Library","Staff - system login (exempt)",23,,,,
"Effingham Community Library","Student (exempt)",,,,,
"Effingham Community Library","Student (public library)",,,,,
"Effingham Community Library","Teacher/Faculty/Administrator (exempt)",,,,,Yes
"Effingham Community Library","Teacher/Faculty/Administrator (public library)",,,,,
"Eudora Community Library",Adult,1412,21,13,,Yes
"Eudora Community Library","Adult - college student",2,,,,Yes
"Eudora Community Library","Adult - digital only",,,,,
"Eudora Community Library","Adult - homebound",,,,,
"Eudora Community Library","Adult - library associate",17,,,,Yes
"Eudora Community Library","Adult - library board of trustees",1,,,,Yes
"Eudora Community Library","Adult - other",30,,,,Yes
"Eudora Community Library","Adult - self registered during the pandemic",,,,,
"Eudora Community Library","Adult - temporary",,,,,
"Eudora Community Library","Highland Community College - community member",,,,,
"Eudora Community Library","Highland Community College - faculty",,,,,
"Eudora Community Library","Highland Community College - faculty outreach",,,,,
"Eudora Community Library","Highland Community College - staff",,,,,
"Eudora Community Library","Highland Community College - student",,,,,
"Eudora Community Library","Highland Community College - student outreach",,,,,
"Eudora Community Library","Louisburg - Hoopla access",,,,,
"Eudora Community Library","Minor - (age 00-11)",,,,,
"Eudora Community Library","Minor - (age 00-17)",454,4,3,2,Yes
"Eudora Community Library","Minor - (age 12)",,,,,
"Eudora Community Library","Minor - (age 13-17)",,,,,
"Eudora Community Library","Minor - digital only (age 00-11)",,,,,
"Eudora Community Library","Minor - digital only (age 00-17)",,,,,
"Eudora Community Library","Minor - digital only (age 12)",,,,,
"Eudora Community Library","Minor - digital only (ages 13-17)",,,,,
"Eudora Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Eudora Community Library","Minor - other (age 00-17)",17,,1,,Yes
"Eudora Community Library","Minor - temporary",,,,,
"Eudora Community Library","Organization - book club",6,,,,Yes
"Eudora Community Library","Organization - interlibrary loan (exempt-ILL)",1,,,,Yes
"Eudora Community Library","Staff - in house use (exempt)",1,,,,Yes
"Eudora Community Library","Staff - library associate (exempt)",,,,,
"Eudora Community Library","Staff - Permissions template",,,,,
"Eudora Community Library","Staff - SIP user",,,,,
"Eudora Community Library","Staff - statistical purposes",,,,,
"Eudora Community Library","Staff - system login (exempt)",23,,,,
"Eudora Community Library","Student (exempt)",,,,,
"Eudora Community Library","Student (public library)",,,,,
"Eudora Community Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Eudora Community Library","Teacher/Faculty/Administrator (public library)",68,2,,,Yes
"Everest, Barnes Reading Room",Adult,105,1,,,Yes
"Everest, Barnes Reading Room","Adult - college student",,,,,
"Everest, Barnes Reading Room","Adult - digital only",,,,,
"Everest, Barnes Reading Room","Adult - homebound",,,,,
"Everest, Barnes Reading Room","Adult - library associate",,,,,
"Everest, Barnes Reading Room","Adult - library board of trustees",,,,,
"Everest, Barnes Reading Room","Adult - other",5,,,,Yes
"Everest, Barnes Reading Room","Adult - self registered during the pandemic",,,,,
"Everest, Barnes Reading Room","Adult - temporary",,,,,
"Everest, Barnes Reading Room","Highland Community College - community member",,,,,
"Everest, Barnes Reading Room","Highland Community College - faculty",,,,,
"Everest, Barnes Reading Room","Highland Community College - faculty outreach",,,,,
"Everest, Barnes Reading Room","Highland Community College - staff",,,,,
"Everest, Barnes Reading Room","Highland Community College - student",,,,,
"Everest, Barnes Reading Room","Highland Community College - student outreach",,,,,
"Everest, Barnes Reading Room","Louisburg - Hoopla access",,,,,
"Everest, Barnes Reading Room","Minor - (age 00-11)",,,,,
"Everest, Barnes Reading Room","Minor - (age 00-17)",26,,,,Yes
"Everest, Barnes Reading Room","Minor - (age 12)",,,,,
"Everest, Barnes Reading Room","Minor - (age 13-17)",,,,,
"Everest, Barnes Reading Room","Minor - digital only (age 00-11)",,,,,
"Everest, Barnes Reading Room","Minor - digital only (age 00-17)",,,,,
"Everest, Barnes Reading Room","Minor - digital only (age 12)",,,,,
"Everest, Barnes Reading Room","Minor - digital only (ages 13-17)",,,,,
"Everest, Barnes Reading Room","Minor - Osawatomie student (age 00-17)",,,,,
"Everest, Barnes Reading Room","Minor - other (age 00-17)",4,,,,Yes
"Everest, Barnes Reading Room","Minor - temporary",,,,,
"Everest, Barnes Reading Room","Organization - book club",,,,,Yes
"Everest, Barnes Reading Room","Organization - interlibrary loan (exempt-ILL)",,,,,Yes
"Everest, Barnes Reading Room","Staff - in house use (exempt)",1,,,,Yes
"Everest, Barnes Reading Room","Staff - library associate (exempt)",,,,,
"Everest, Barnes Reading Room","Staff - Permissions template",,,,,
"Everest, Barnes Reading Room","Staff - SIP user",,,,,
"Everest, Barnes Reading Room","Staff - statistical purposes",,,,,
"Everest, Barnes Reading Room","Staff - system login (exempt)",23,,,,
"Everest, Barnes Reading Room","Student (exempt)",,,,,
"Everest, Barnes Reading Room","Student (public library)",,,,,
"Everest, Barnes Reading Room","Teacher/Faculty/Administrator (exempt)",2,,,,Yes
"Everest, Barnes Reading Room","Teacher/Faculty/Administrator (public library)",,,,,
"Hiawatha, Morrill Public Library",Adult,1303,18,5,1,Yes
"Hiawatha, Morrill Public Library","Adult - college student",,,,,
"Hiawatha, Morrill Public Library","Adult - digital only",,,,,
"Hiawatha, Morrill Public Library","Adult - homebound",,,,,
"Hiawatha, Morrill Public Library","Adult - library associate",,,,,
"Hiawatha, Morrill Public Library","Adult - library board of trustees",,,,,
"Hiawatha, Morrill Public Library","Adult - other",722,19,1,,Yes
"Hiawatha, Morrill Public Library","Adult - self registered during the pandemic",1,,,,
"Hiawatha, Morrill Public Library","Adult - temporary",,,,,
"Hiawatha, Morrill Public Library","Highland Community College - community member",,,,,
"Hiawatha, Morrill Public Library","Highland Community College - faculty",,,,,
"Hiawatha, Morrill Public Library","Highland Community College - faculty outreach",,,,,
"Hiawatha, Morrill Public Library","Highland Community College - staff",,,,,
"Hiawatha, Morrill Public Library","Highland Community College - student",,,,,
"Hiawatha, Morrill Public Library","Highland Community College - student outreach",,,,,
"Hiawatha, Morrill Public Library","Louisburg - Hoopla access",,,,,
"Hiawatha, Morrill Public Library","Minor - (age 00-11)",,,,,
"Hiawatha, Morrill Public Library","Minor - (age 00-17)",329,6,6,,Yes
"Hiawatha, Morrill Public Library","Minor - (age 12)",,,,,
"Hiawatha, Morrill Public Library","Minor - (age 13-17)",,,,,
"Hiawatha, Morrill Public Library","Minor - digital only (age 00-11)",,,,,
"Hiawatha, Morrill Public Library","Minor - digital only (age 00-17)",,,,,
"Hiawatha, Morrill Public Library","Minor - digital only (age 12)",,,,,
"Hiawatha, Morrill Public Library","Minor - digital only (ages 13-17)",,,,,
"Hiawatha, Morrill Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Hiawatha, Morrill Public Library","Minor - other (age 00-17)",151,3,2,,Yes
"Hiawatha, Morrill Public Library","Minor - temporary",,,,,
"Hiawatha, Morrill Public Library","Organization - book club",4,,,,Yes
"Hiawatha, Morrill Public Library","Organization - interlibrary loan (exempt-ILL)",98,,,,Yes
"Hiawatha, Morrill Public Library","Staff - in house use (exempt)",,,,,
"Hiawatha, Morrill Public Library","Staff - library associate (exempt)",,,,,
"Hiawatha, Morrill Public Library","Staff - Permissions template",,,,,
"Hiawatha, Morrill Public Library","Staff - SIP user",2,,,,
"Hiawatha, Morrill Public Library","Staff - statistical purposes",,,,,
"Hiawatha, Morrill Public Library","Staff - system login (exempt)",25,,,,
"Hiawatha, Morrill Public Library","Student (exempt)",,,,,
"Hiawatha, Morrill Public Library","Student (public library)",,,,,
"Hiawatha, Morrill Public Library","Teacher/Faculty/Administrator (exempt)",17,,,,Yes
"Hiawatha, Morrill Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Highland Community College",Adult,23,,,,
"Highland Community College","Adult - college student",,,,,
"Highland Community College","Adult - digital only",1,,,,
"Highland Community College","Adult - homebound",,,,,
"Highland Community College","Adult - library associate",,,,,
"Highland Community College","Adult - library board of trustees",,,,,
"Highland Community College","Adult - other",3,,,,
"Highland Community College","Adult - self registered during the pandemic",,,,,
"Highland Community College","Adult - temporary",,,,,
"Highland Community College","Highland Community College - community member",13,,,,Yes
"Highland Community College","Highland Community College - faculty",27,,,,Yes
"Highland Community College","Highland Community College - faculty outreach",31,,,,Yes
"Highland Community College","Highland Community College - staff",53,,,,Yes
"Highland Community College","Highland Community College - student",1700,,,,Yes
"Highland Community College","Highland Community College - student outreach",8320,2,,,Yes
"Highland Community College","Louisburg - Hoopla access",,,,,
"Highland Community College","Minor - (age 00-11)",,,,,
"Highland Community College","Minor - (age 00-17)",,,,,
"Highland Community College","Minor - (age 12)",,,,,
"Highland Community College","Minor - (age 13-17)",,,,,
"Highland Community College","Minor - digital only (age 00-11)",,,,,
"Highland Community College","Minor - digital only (age 00-17)",,,,,
"Highland Community College","Minor - digital only (age 12)",,,,,
"Highland Community College","Minor - digital only (ages 13-17)",,,,,
"Highland Community College","Minor - Osawatomie student (age 00-17)",,,,,
"Highland Community College","Minor - other (age 00-17)",,,,,
"Highland Community College","Minor - temporary",,,,,
"Highland Community College","Organization - book club",,,,,Yes
"Highland Community College","Organization - interlibrary loan (exempt-ILL)",14,,,,
"Highland Community College","Staff - in house use (exempt)",,,,,
"Highland Community College","Staff - library associate (exempt)",,,,,
"Highland Community College","Staff - Permissions template",,,,,
"Highland Community College","Staff - SIP user",,,,,
"Highland Community College","Staff - statistical purposes",,,,,
"Highland Community College","Staff - system login (exempt)",26,,,,
"Highland Community College","Student (exempt)",,,,,
"Highland Community College","Student (public library)",,,,,
"Highland Community College","Teacher/Faculty/Administrator (exempt)",,,,,
"Highland Community College","Teacher/Faculty/Administrator (public library)",,,,,
"Holton, Beck-Bookman Library",Adult,3022,20,6,,Yes
"Holton, Beck-Bookman Library","Adult - college student",,,,,
"Holton, Beck-Bookman Library","Adult - digital only",,,,,
"Holton, Beck-Bookman Library","Adult - homebound",,,,,
"Holton, Beck-Bookman Library","Adult - library associate",,,,,
"Holton, Beck-Bookman Library","Adult - library board of trustees",,,,,
"Holton, Beck-Bookman Library","Adult - other",1,,,,Yes
"Holton, Beck-Bookman Library","Adult - self registered during the pandemic",2,,,,
"Holton, Beck-Bookman Library","Adult - temporary",,,,,
"Holton, Beck-Bookman Library","Highland Community College - community member",,,,,
"Holton, Beck-Bookman Library","Highland Community College - faculty",,,,,
"Holton, Beck-Bookman Library","Highland Community College - faculty outreach",,,,,
"Holton, Beck-Bookman Library","Highland Community College - staff",,,,,
"Holton, Beck-Bookman Library","Highland Community College - student",,,,,
"Holton, Beck-Bookman Library","Highland Community College - student outreach",,,,,
"Holton, Beck-Bookman Library","Louisburg - Hoopla access",,,,,
"Holton, Beck-Bookman Library","Minor - (age 00-11)",,,,,
"Holton, Beck-Bookman Library","Minor - (age 00-17)",670,4,1,,Yes
"Holton, Beck-Bookman Library","Minor - (age 12)",,,,,
"Holton, Beck-Bookman Library","Minor - (age 13-17)",,,,,
"Holton, Beck-Bookman Library","Minor - digital only (age 00-11)",,,,,
"Holton, Beck-Bookman Library","Minor - digital only (age 00-17)",,,,,
"Holton, Beck-Bookman Library","Minor - digital only (age 12)",,,,,
"Holton, Beck-Bookman Library","Minor - digital only (ages 13-17)",,,,,
"Holton, Beck-Bookman Library","Minor - Osawatomie student (age 00-17)",,,,,
"Holton, Beck-Bookman Library","Minor - other (age 00-17)",26,,1,,Yes
"Holton, Beck-Bookman Library","Minor - temporary",,,,,
"Holton, Beck-Bookman Library","Organization - book club",1,,,,Yes
"Holton, Beck-Bookman Library","Organization - interlibrary loan (exempt-ILL)",343,,1,,Yes
"Holton, Beck-Bookman Library","Staff - in house use (exempt)",,,,,
"Holton, Beck-Bookman Library","Staff - library associate (exempt)",11,,,,Yes
"Holton, Beck-Bookman Library","Staff - Permissions template",,,,,
"Holton, Beck-Bookman Library","Staff - SIP user",,,,,
"Holton, Beck-Bookman Library","Staff - statistical purposes",,,,,
"Holton, Beck-Bookman Library","Staff - system login (exempt)",23,,,,
"Holton, Beck-Bookman Library","Student (exempt)",,,,,
"Holton, Beck-Bookman Library","Student (public library)",,,,,
"Holton, Beck-Bookman Library","Teacher/Faculty/Administrator (exempt)",58,2,,,Yes
"Holton, Beck-Bookman Library","Teacher/Faculty/Administrator (public library)",,,,,
"Horton Public Library",Adult,836,4,4,1,Yes
"Horton Public Library","Adult - college student",,,,,
"Horton Public Library","Adult - digital only",,,,,
"Horton Public Library","Adult - homebound",,,,,
"Horton Public Library","Adult - library associate",7,,,,Yes
"Horton Public Library","Adult - library board of trustees",,,,,
"Horton Public Library","Adult - other",1,,,,
"Horton Public Library","Adult - self registered during the pandemic",,,,,
"Horton Public Library","Adult - temporary",,,,,
"Horton Public Library","Highland Community College - community member",,,,,
"Horton Public Library","Highland Community College - faculty",,,,,
"Horton Public Library","Highland Community College - faculty outreach",,,,,
"Horton Public Library","Highland Community College - staff",,,,,
"Horton Public Library","Highland Community College - student",,,,,
"Horton Public Library","Highland Community College - student outreach",,,,,
"Horton Public Library","Louisburg - Hoopla access",,,,,
"Horton Public Library","Minor - (age 00-11)",,,,,
"Horton Public Library","Minor - (age 00-17)",148,,,,Yes
"Horton Public Library","Minor - (age 12)",,,,,
"Horton Public Library","Minor - (age 13-17)",,,,,
"Horton Public Library","Minor - digital only (age 00-11)",,,,,
"Horton Public Library","Minor - digital only (age 00-17)",,,,,
"Horton Public Library","Minor - digital only (age 12)",,,,,
"Horton Public Library","Minor - digital only (ages 13-17)",,,,,
"Horton Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Horton Public Library","Minor - other (age 00-17)",,,,,
"Horton Public Library","Minor - temporary",,,,,
"Horton Public Library","Organization - book club",,,,,Yes
"Horton Public Library","Organization - interlibrary loan (exempt-ILL)",204,,2,1,Yes
"Horton Public Library","Staff - in house use (exempt)",3,,,,Yes
"Horton Public Library","Staff - library associate (exempt)",,,,,
"Horton Public Library","Staff - Permissions template",,,,,
"Horton Public Library","Staff - SIP user",,,,,
"Horton Public Library","Staff - statistical purposes",7,,,,Yes
"Horton Public Library","Staff - system login (exempt)",24,,,,
"Horton Public Library","Student (exempt)",,,,,
"Horton Public Library","Student (public library)",,,,,
"Horton Public Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Horton Public Library","Teacher/Faculty/Administrator (public library)",4,,,,Yes
"Lansing Community Library",Adult,2466,52,20,,Yes
"Lansing Community Library","Adult - college student",,,,,
"Lansing Community Library","Adult - digital only",19,,,,Yes
"Lansing Community Library","Adult - homebound",22,,,,Yes
"Lansing Community Library","Adult - library associate",,,,,
"Lansing Community Library","Adult - library board of trustees",,,,,
"Lansing Community Library","Adult - other",3,,,,Yes
"Lansing Community Library","Adult - self registered during the pandemic",,,,,
"Lansing Community Library","Adult - temporary",,,,,
"Lansing Community Library","Highland Community College - community member",,,,,
"Lansing Community Library","Highland Community College - faculty",,,,,
"Lansing Community Library","Highland Community College - faculty outreach",,,,,
"Lansing Community Library","Highland Community College - staff",,,,,
"Lansing Community Library","Highland Community College - student",,,,,
"Lansing Community Library","Highland Community College - student outreach",,,,,
"Lansing Community Library","Louisburg - Hoopla access",,,,,
"Lansing Community Library","Minor - (age 00-11)",13,,,,
"Lansing Community Library","Minor - (age 00-17)",775,9,4,,Yes
"Lansing Community Library","Minor - (age 12)",3,,,,
"Lansing Community Library","Minor - (age 13-17)",21,1,,,
"Lansing Community Library","Minor - digital only (age 00-11)",,,,,
"Lansing Community Library","Minor - digital only (age 00-17)",2,,,,Yes
"Lansing Community Library","Minor - digital only (age 12)",,,,,
"Lansing Community Library","Minor - digital only (ages 13-17)",,,,,
"Lansing Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Lansing Community Library","Minor - other (age 00-17)",,,,,Yes
"Lansing Community Library","Minor - temporary",,,,,
"Lansing Community Library","Organization - book club",1,,,,Yes
"Lansing Community Library","Organization - interlibrary loan (exempt-ILL)",2,,,,Yes
"Lansing Community Library","Staff - in house use (exempt)",4,,,,Yes
"Lansing Community Library","Staff - library associate (exempt)",1,,,,Yes
"Lansing Community Library","Staff - Permissions template",,,,,
"Lansing Community Library","Staff - SIP user",6,,,,
"Lansing Community Library","Staff - statistical purposes",,,,,
"Lansing Community Library","Staff - system login (exempt)",23,,,,
"Lansing Community Library","Student (exempt)",,,,,
"Lansing Community Library","Student (public library)",,,,,
"Lansing Community Library","Teacher/Faculty/Administrator (exempt)",7,,,,Yes
"Lansing Community Library","Teacher/Faculty/Administrator (public library)",,,,,
"Leavenworth Public Library",Adult,12413,158,64,2,Yes
"Leavenworth Public Library","Adult - college student",,,,,
"Leavenworth Public Library","Adult - digital only",140,,1,,Yes
"Leavenworth Public Library","Adult - homebound",1,,,,
"Leavenworth Public Library","Adult - library associate",,,,,
"Leavenworth Public Library","Adult - library board of trustees",10,1,,,Yes
"Leavenworth Public Library","Adult - other",,,,,
"Leavenworth Public Library","Adult - self registered during the pandemic",,,,,
"Leavenworth Public Library","Adult - temporary",137,,4,,Yes
"Leavenworth Public Library","Highland Community College - community member",,,,,
"Leavenworth Public Library","Highland Community College - faculty",,,,,
"Leavenworth Public Library","Highland Community College - faculty outreach",,,,,
"Leavenworth Public Library","Highland Community College - staff",,,,,
"Leavenworth Public Library","Highland Community College - student",,,,,
"Leavenworth Public Library","Highland Community College - student outreach",,,,,
"Leavenworth Public Library","Louisburg - Hoopla access",,,,,
"Leavenworth Public Library","Minor - (age 00-11)",1293,15,7,1,Yes
"Leavenworth Public Library","Minor - (age 00-17)",30,,,,
"Leavenworth Public Library","Minor - (age 12)",228,1,,,Yes
"Leavenworth Public Library","Minor - (age 13-17)",1100,8,1,,Yes
"Leavenworth Public Library","Minor - digital only (age 00-11)",29,,,,Yes
"Leavenworth Public Library","Minor - digital only (age 00-17)",,,,,
"Leavenworth Public Library","Minor - digital only (age 12)",7,,,,Yes
"Leavenworth Public Library","Minor - digital only (ages 13-17)",26,,,,Yes
"Leavenworth Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Leavenworth Public Library","Minor - other (age 00-17)",,,,,
"Leavenworth Public Library","Minor - temporary",,,,,
"Leavenworth Public Library","Organization - book club",,,,,
"Leavenworth Public Library","Organization - interlibrary loan (exempt-ILL)",2,,,,Yes
"Leavenworth Public Library","Staff - in house use (exempt)",18,,,,Yes
"Leavenworth Public Library","Staff - library associate (exempt)",18,1,,,Yes
"Leavenworth Public Library","Staff - Permissions template",,,,,
"Leavenworth Public Library","Staff - SIP user",5,,,,
"Leavenworth Public Library","Staff - statistical purposes",,,,,
"Leavenworth Public Library","Staff - system login (exempt)",71,,,,
"Leavenworth Public Library","Student (exempt)",,,,,
"Leavenworth Public Library","Student (public library)",,,,,
"Leavenworth Public Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Leavenworth Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Linwood Community Library",Adult,513,12,7,,Yes
"Linwood Community Library","Adult - college student",,,,,
"Linwood Community Library","Adult - digital only",,,,,
"Linwood Community Library","Adult - homebound",,,,,
"Linwood Community Library","Adult - library associate",,,,,
"Linwood Community Library","Adult - library board of trustees",,,,,
"Linwood Community Library","Adult - other",20,1,,,Yes
"Linwood Community Library","Adult - self registered during the pandemic",,,,,
"Linwood Community Library","Adult - temporary",,,,,
"Linwood Community Library","Highland Community College - community member",,,,,
"Linwood Community Library","Highland Community College - faculty",,,,,
"Linwood Community Library","Highland Community College - faculty outreach",,,,,
"Linwood Community Library","Highland Community College - staff",,,,,
"Linwood Community Library","Highland Community College - student",,,,,
"Linwood Community Library","Highland Community College - student outreach",,,,,
"Linwood Community Library","Louisburg - Hoopla access",,,,,
"Linwood Community Library","Minor - (age 00-11)",,,,,
"Linwood Community Library","Minor - (age 00-17)",88,,2,,Yes
"Linwood Community Library","Minor - (age 12)",,,,,
"Linwood Community Library","Minor - (age 13-17)",,,,,
"Linwood Community Library","Minor - digital only (age 00-11)",,,,,
"Linwood Community Library","Minor - digital only (age 00-17)",,,,,
"Linwood Community Library","Minor - digital only (age 12)",,,,,
"Linwood Community Library","Minor - digital only (ages 13-17)",,,,,
"Linwood Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Linwood Community Library","Minor - other (age 00-17)",1,,1,,Yes
"Linwood Community Library","Minor - temporary",,,,,
"Linwood Community Library","Organization - book club",1,,,,Yes
"Linwood Community Library","Organization - interlibrary loan (exempt-ILL)",1,,,,Yes
"Linwood Community Library","Staff - in house use (exempt)",,,,,
"Linwood Community Library","Staff - library associate (exempt)",5,,,,Yes
"Linwood Community Library","Staff - Permissions template",,,,,
"Linwood Community Library","Staff - SIP user",3,,,,
"Linwood Community Library","Staff - statistical purposes",1,,,,Yes
"Linwood Community Library","Staff - system login (exempt)",24,,,,
"Linwood Community Library","Student (exempt)",,,,,
"Linwood Community Library","Student (public library)",,,,,
"Linwood Community Library","Teacher/Faculty/Administrator (exempt)",16,,,,Yes
"Linwood Community Library","Teacher/Faculty/Administrator (public library)",,,,,
"Louisburg Library",Adult,1,,,,
"Louisburg Library","Adult - college student",,,,,
"Louisburg Library","Adult - digital only",,,,,
"Louisburg Library","Adult - homebound",,,,,
"Louisburg Library","Adult - library associate",,,,,
"Louisburg Library","Adult - library board of trustees",,,,,
"Louisburg Library","Adult - other",,,,,
"Louisburg Library","Adult - self registered during the pandemic",21,,,,
"Louisburg Library","Adult - temporary",,,,,
"Louisburg Library","Highland Community College - community member",,,,,
"Louisburg Library","Highland Community College - faculty",,,,,
"Louisburg Library","Highland Community College - faculty outreach",,,,,
"Louisburg Library","Highland Community College - staff",,,,,
"Louisburg Library","Highland Community College - student",,,,,
"Louisburg Library","Highland Community College - student outreach",,,,,
"Louisburg Library","Louisburg - Hoopla access",637,,13,1,Yes
"Louisburg Library","Minor - (age 00-11)",,,,,
"Louisburg Library","Minor - (age 00-17)",,,,,
"Louisburg Library","Minor - (age 12)",,,,,
